Date,Fokontany,Location,AdultDogs,Puppies,Cats,Kittens,Roaming,WillingnessPay,Point,Commune
16-Apr-18,Moramanga Ambony,Moramanga Ambony,0,1,0,0,Fefy,5000,Moramanga Ambony,Moramanga
16-Apr-18,Moramanga Ambony,Moramanga Ambony,3,0,0,0,Fefy,5000,Moramanga Ambony,Moramanga
16-Apr-18,Moramanga Ambony,Moramanga Ambony,0,1,0,0,Fefy,5000,Moramanga Ambony,Moramanga
16-Apr-18,Ambohimadera,Ambohimadera,1,0,0,0,Fefy,5000,Moramanga Ambony,Moramanga
16-Apr-18,Ambohimadera,Ambohimadera,1,0,0,0,Mireny,5000,Moramanga Ambony,Moramanga
16-Apr-18,Ambohimadera,Ambohimadera,1,0,0,0,Fefy,5000,Moramanga Ambony,Moramanga
16-Apr-18,Ambohimadera,Ambohimadera,0,0,0,1,Fefy,5000,Moramanga Ambony,Moramanga
16-Apr-18,Ambohimadera,Ambohimadera,3,0,1,1,Fefy,5000,Moramanga Ambony,Moramanga
16-Apr-18,Ambohimadera,Ambohimadera,0,0,1,3,Fefy,5000,Moramanga Ambony,Moramanga
13-Apr-18,Ambodiakondro,Ambodiakondro,1,0,1,0,Fefy,5000,Ambodiakondro,Moramanga
13-Apr-18,Ambodiakondro,Ambodiakondro,1,0,0,0,Mireny,5000,Ambodiakondro,Moramanga
13-Apr-18,Ambodiakondro,Ambodiakondro,1,4,0,1,Mireny,5000,Ambodiakondro,Moramanga
13-Apr-18,Antanifasika,Ambodiakondro,2,0,1,0,Fefy,5000,Ambodiakondro,Moramanga
13-Apr-18,Ambodiakondro,Ambodiakondro,1,0,0,0,Fefy,5000,Ambodiakondro,Moramanga
13-Apr-18,Antanifasika,Ambodiakondro,1,0,1,1,Fefy,5000,Ambodiakondro,Moramanga
13-Apr-18,Ambodiakondro,Ambodiakondro,2,0,0,0,Fefy,5000,Ambodiakondro,Moramanga
13-Apr-18,Antanifasika,Ambodiakondro,1,0,0,0,Fefy,5000,Ambodiakondro,Moramanga
13-Apr-18,Ambodiakondro,Ambodiakondro,1,0,0,0,Fefy,5000,Ambodiakondro,Moramanga
